place,mobility,coefficient,r2,p_val,period
waterloo,workplaces,-0.0016693703842491719,-0.002461650291743389,0.37555022012939243,7 Days after lockdown
waterloo,residential,0.0029798681882730353,-0.005484303705902027,0.46375007465112905,7 Days after lockdown
waterloo,global,-0.0035359588020374127,0.01127691619405402,0.1654466200696914,7 Days after lockdown
york,retail,0.010424418309832413,0.14978376929193438,9.285005604180044e-4,7 Days after lockdown
york,grocery,0.006269559592897623,0.1485731388246353,9.734239529958525e-4,7 Days after lockdown
york,parks,2.550701693481687e-4,-0.013197490159016168,0.6733653312948804,7 Days after lockdown
york,transit,0.004898077477358814,0.01988029795707147,0.13631218424376623,7 Days after lockdown
york,workplaces,0.004191388142787567,0.03604017816470695,0.07178865007777369,7 Days after lockdown
york,residential,-0.0055228101288484766,0.013205634534402932,0.17951037658263622,7 Days after lockdown
york,global,0.0044805497529055325,0.03477445030775095,0.07542001436409487,7 Days after lockdown
ontario,retail,0.004757520149374357,0.07295097971534659,0.016781271450991127,14 Days after lockdown
ontario,grocery,0.002858823425674349,0.06037642595944037,0.0272180190768731,14 Days after lockdown
ontario,parks,2.1439580318995612e-4,-0.014218440621623918,0.7495833191362343,14 Days after lockdown
ontario,transit,0.0066153609885699375,0.09559345163655197,0.00703176892876449,14 Days after lockdown
ontario,workplaces,0.0033741838365386996,0.05806179343545448,0.02975941233498238,14 Days after lockdown
ontario,residential,-0.004415875605887539,0.016428785476849894,0.15526903966982247,14 Days after lockdown
ontario,global,0.004005081001532334,0.04053578572156813,0.05880437217476885,14 Days after lockdown
peel,retail,-0.0023013169353064194,0.011112101685412878,0.1526510476241009,14 Days after lockdown
peel,grocery,-3.4298756983362706e-4,-0.009938215175179899,0.8145585380268323,14 Days after lockdown
peel,parks,-9.203823901831465e-4,0.03504597264695686,0.03677162150034281,14 Days after lockdown
peel,transit,0.004454255134066589,0.01709873569738829,0.10556362629265041,14 Days after lockdown
peel,workplaces,-1.3678458912873463e-4,-0.010413367501433068,0.9181397409145342,14 Days after lockdown
peel,residential,0.0012299460459185296,-0.008532405174114688,0.6657205753959932,14 Days after lockdown
peel,global,-0.002070544854807811,0.007982435209614835,0.18626143793560565,14 Days after lockdown
toronto,retail,-0.005933768754247035,0.07085206102941122,0.004293626979591892,14 Days after lockdown
toronto,grocery,-0.0018774486277550462,0.0016168540655672192,0.2840420616526989,14 Days after lockdown
toronto,parks,-0.0017551139599531734,0.21433687918187916,7.383086548044698e-7,14 Days after lockdown
toronto,transit,-0.00529970127113848,0.04629175266464636,0.017844797654889034,14 Days after lockdown
toronto,workplaces,-0.0018170254160824394,0.006982855839383406,0.1958428782126687,14 Days after lockdown
toronto,residential,0.004394077654689526,0.012668932326917681,0.1350896176886537,14 Days after lockdown
toronto,global,-0.005633640783118645,0.14266033566734104,6.339286248576796e-5,14 Days after lockdown
waterloo,retail,8.607859005940404e-4,-0.010084737156719648,0.6889584130422237,14 Days after lockdown
waterloo,grocery,5.934392901381029e-4,-0.010543365265717641,0.7260558829083978,14 Days after lockdown
waterloo,parks,-3.8785239100911365e-4,-0.009541329121108832,0.6510239012549044,14 Days after lockdown
waterloo,transit,-0.0034545681145518223,0.025483541219563977,0.07744142275100852,14 Days after lockdown
waterloo,workplaces,6.708647555672753e-4,-0.01017662150602705,0.6959582877951624,14 Days after lockdown
waterloo,residential,-0.0010140367084041453,-0.011129322284937793,0.7842757317787581,14 Days after lockdown
waterloo,global,-7.853931505523952e-4,-0.010657076817119027,0.7362153861463488,14 Days after lockdown
york,retail,0.003960036899779225,0.025635070643875046,0.10813308102605734,14 Days after lockdown
york,grocery,0.0022990883396969337,0.022504554303371616,0.12258302911282945,14 Days after lockdown
