place,mobility,coefficient,p_val,period,wave,significant
peel,transit,0.7420793043867594,3.421562244539782e-18,7 Days after lockdown,Wave 1,Yes
peel,workplaces,0.4520984010688784,3.3412381791844867e-6,7 Days after lockdown,Wave 1,Yes
peel,residential,-0.38413436557687547,1.0259492318461495e-4,7 Days after lockdown,Wave 1,Yes
peel,global,0.33643008845097777,7.536609450009333e-4,7 Days after lockdown,Wave 1,Yes
toronto,retail,0.28534471507101916,0.004006443948538989,7 Days after lockdown,Wave 1,Yes
toronto,grocery,0.309142141910618,0.0017505006408266165,7 Days after lockdown,Wave 1,Yes
toronto,parks,-0.3741810381051203,1.255346033304319e-4,7 Days after lockdown,Wave 1,Yes
toronto,transit,0.33007603544387815,7.9717029166558e-4,7 Days after lockdown,Wave 1,Yes
toronto,workplaces,0.2747370529280978,0.005670116491751776,7 Days after lockdown,Wave 1,Yes
toronto,residential,-0.2197713277536846,0.028019190166520658,7 Days after lockdown,Wave 1,No
toronto,global,-0.020761802292902014,0.837548814739512,7 Days after lockdown,Wave 1,No
waterloo,retail,0.30760584515314465,0.004186200500094364,7 Days after lockdown,Wave 1,Yes
waterloo,grocery,0.21021811971821366,0.05347612209036373,7 Days after lockdown,Wave 1,No
waterloo,parks,-0.13668371356951414,0.21226302557212176,7 Days after lockdown,Wave 1,No
waterloo,transit,0.13512050955660607,0.21758771663075482,7 Days after lockdown,Wave 1,No
waterloo,workplaces,0.3294575038171516,0.0020775277811818475,7 Days after lockdown,Wave 1,Yes
waterloo,residential,-0.26178706848802785,0.015512412901063708,7 Days after lockdown,Wave 1,No
waterloo,global,0.15811224283467845,0.14838837897502477,7 Days after lockdown,Wave 1,No
york,retail,0.8159235404692631,2.1675480873175692e-16,7 Days after lockdown,Wave 1,Yes
york,grocery,0.691400613012361,2.535272361908367e-10,7 Days after lockdown,Wave 1,Yes
york,parks,0.040481168724222916,0.7507908334903652,7 Days after lockdown,Wave 1,No
york,transit,0.7785417204517956,3.6680910122025784e-14,7 Days after lockdown,Wave 1,Yes
york,workplaces,0.7536865432112635,6.613414382023254e-13,7 Days after lockdown,Wave 1,Yes
york,residential,-0.6580911359854729,3.438007737000208e-9,7 Days after lockdown,Wave 1,Yes
york,global,0.6803405651804805,6.256625852273653e-10,7 Days after lockdown,Wave 1,Yes
ontario,retail,0.9300378796847545,4.360294616429337e-29,14 Days after lockdown,Wave 1,Yes
ontario,grocery,0.7093377918348003,3.75094388059203e-11,14 Days after lockdown,Wave 1,Yes
ontario,parks,0.5368143605331052,4.0306467882656675e-6,14 Days after lockdown,Wave 1,Yes
