place,mobility,coefficient,p_val,period,wave,Significant (p<0.01)
york,Global,0.18024396507059015,0.15408940284113798,Lockdown,Wave 1,No
durham,Retail,0.7124244980758987,4.0565633569342704e-11,7 Days after lockdown,Wave 1,Yes
durham,Grocery,0.565170594448538,1.1419976936444706e-6,7 Days after lockdown,Wave 1,Yes
durham,Parks,0.3658294702705479,0.002951527181920819,7 Days after lockdown,Wave 1,Yes
durham,Transit,0.6910347302006428,2.613850125340391e-10,7 Days after lockdown,Wave 1,Yes
durham,Workplaces,0.6824930469649819,5.264117284279045e-10,7 Days after lockdown,Wave 1,Yes
durham,Residential,-0.6189291299885804,5.003352948863191e-8,7 Days after lockdown,Wave 1,Yes
durham,Global,0.6818724480463042,5.533738347998558e-10,7 Days after lockdown,Wave 1,Yes
peel,Retail,0.8398779460994575,4.201760156376981e-18,7 Days after lockdown,Wave 1,Yes
peel,Grocery,0.7705061704096055,9.718718374940758e-14,7 Days after lockdown,Wave 1,Yes
peel,Parks,0.5287603318846128,7.074756256203746e-6,7 Days after lockdown,Wave 1,Yes
peel,Transit,0.8924310511972446,4.184244544436321e-23,7 Days after lockdown,Wave 1,Yes
peel,Workplaces,0.7869654754534728,1.2633086704956808e-14,7 Days after lockdown,Wave 1,Yes
peel,Residential,-0.6855407475703458,4.1116907683846527e-10,7 Days after lockdown,Wave 1,Yes
peel,Global,0.856464069471307,1.8361756263390382e-19,7 Days after lockdown,Wave 1,Yes
toronto,Retail,0.7674616786512125,1.3915553594856302e-13,7 Days after lockdown,Wave 1,Yes
toronto,Grocery,0.6771718378353402,8.046910006831779e-10,7 Days after lockdown,Wave 1,Yes
toronto,Parks,0.3156508112714986,0.01106133400037835,7 Days after lockdown,Wave 1,No
toronto,Transit,0.7404926429093568,2.682405157386783e-12,7 Days after lockdown,Wave 1,Yes
toronto,Workplaces,0.6790917886043931,6.91148876818843e-10,7 Days after lockdown,Wave 1,Yes
toronto,Residential,-0.5835049616004502,4.1855930037608195e-7,7 Days after lockdown,Wave 1,Yes
toronto,Global,0.7247939500790571,1.2767156710507082e-11,7 Days after lockdown,Wave 1,Yes
halton,Retail,0.5098271464904185,1.684833974476949e-5,7 Days after lockdown,Wave 1,Yes
halton,Grocery,0.47850956904744163,6.350405096887451e-5,7 Days after lockdown,Wave 1,Yes
halton,Parks,0.4907439300176305,3.8402494111667044e-5,7 Days after lockdown,Wave 1,Yes
halton,Transit,0.4277291543179203,4.227951148591393e-4,7 Days after lockdown,Wave 1,Yes
