Date,Durham,Halton,Peel,Toronto,York
2020-11-30,90,49,394,508,162
2020-12-01,107,65,562,410,209
2020-12-02,43,54,464,560,191
2020-12-03,107,67,424,545,165
2020-12-04,45,53,471,620,204
2020-12-05,161,55,543,589,228
2020-12-06,85,58,401,533,177
2020-12-07,85,88,432,545,144
2020-12-08,65,59,449,514,163
2020-12-09,66,64,461,493,252
2020-12-10,85,45,383,530,179
2020-12-11,79,69,465,527,160
2020-12-12,88,42,389,586,181
2020-12-13,67,73,393,596,189
2020-12-14,89,50,644,663,129
2020-12-15,121,85,443,676,181
2020-12-16,92,85,401,690,230
2020-12-17,97,62,387,689,212
2020-12-18,98,87,465,640,294
2020-12-19,65,81,497,561,247
2020-12-20,98,83,514,782,174
2020-12-21,115,59,431,618,186
2020-12-22,122,67,379,800,228
2020-12-23,90,77,460,574,252
2020-12-24,67,90,322,472,226
2020-12-25,79,62,335,678,281
2020-12-26,54,101,406,739,145
2020-12-27,71,85,463,602,84
2020-12-28,121,113,433,766,322
2020-12-29,142,59,451,993,358
2020-12-30,137,96,500,478,427
2020-12-31,144,131,583,806,385
2021-01-01,139,120,633,827,330
2021-01-02,185,69,331,921,304
2021-01-03,146,121,694,724,344
2021-01-04,131,113,566,723,348
2021-01-05,137,93,564,947,336
2021-01-06,192,132,637,993,429
2021-01-07,171,86,609,1613,374
2021-01-08,208,97,667,1153,310
2021-01-09,159,97,505,940,301
2021-01-10,108,49,642,721,262
2021-01-11,109,67,445,810,251
2021-01-12,82,89,514,987,267
2021-01-13,93,62,772,841,325
2021-01-14,159,91,551,879,219
2021-01-15,126,51,532,948,330
2021-01-16,92,74,535,841,156
2021-01-17,86,63,441,532,233
2021-01-18,60,72,355,874,191
2021-01-19,57,53,336,972,206
2021-01-20,123,70,580,733,225
2021-01-21,64,111,447,639,266
2021-01-22,90,82,441,756,237
2021-01-23,53,45,329,699,162
2021-01-24,57,42,338,648,150
2021-01-25,68,47,363,463,162
2021-01-26,52,79,284,644,200
2021-01-27,73,44,318,614,194
2021-01-28,79,47,403,571,184
2021-01-29,83,42,365,602,187
2021-01-30,59,53,283,608,134
2021-01-31,67,50,292,563,110
2021-02-01,49,34,277,456,132
2021-02-02,36,59,256,531,124
2021-02-03,55,91,273,456,135
2021-02-04,42,58,284,418,141
2021-02-05,54,40,329,439,137
2021-02-06,54,43,240,359,129
2021-02-07,35,37,223,390,130
2021-02-08,18,40,234,291,112
2021-02-09,26,36,228,397,101
2021-02-10,48,42,268,418,136
2021-02-11,41,24,252,381,135
2021-02-12,37,30,194,349,138
2021-02-13,42,35,194,287,88
2021-02-14,69,34,188,228,113
2021-02-15,26,34,153,319,108
2021-02-16,25,20,188,295,144
2021-02-17,28,39,215,403,134
2021-02-18,36,40,226,355,112
2021-02-19,63,27,203,387,120
2021-02-20,51,30,197,326,111
2021-02-21,34,31,199,335,81
2021-02-22,33,24,195,259,74
2021-02-23,35,33,195,370,121
2021-02-24,28,32,231,359,100
2021-02-25,40,26,228,350,112
2021-02-26,33,36,199,322,82
2021-02-27,27,51,224,256,72
2021-02-28,25,31,183,299,94
2021-03-01,41,27,195,227,88
2021-03-02,37,38,171,345,92
2021-03-03,39,51,198,301,80
2021-03-04,42,27,199,370,111
2021-03-05,37,37,208,322,115
2021-03-06,54,47,233,354,123
2021-03-07,71,31,203,385,108
2021-03-08,40,63,266,362,95
2021-03-09,32,32,194,382,129
2021-03-10,35,33,240,380,92
2021-03-11,40,43,248,351,154
2021-03-12,41,41,302,468,197
2021-03-13,58,42,234,432,133
2021-03-14,44,35,232,347,109
2021-03-15,34,36,242,341,101
2021-03-16,53,31,284,409,132
2021-03-17,74,44,325,447,184
2021-03-18,101,48,286,502,177
2021-03-19,48,16,83,290,44
2020-03-08,0,1,0,4,0
2020-03-11,0,3,4,10,1
2020-03-12,0,1,2,24,2
2020-03-15,0,1,4,15,4
2020-08-14,0,2,17,18,8
2020-08-18,0,4,21,27,6
2020-03-05,0,0,2,2,0
2020-03-09,0,0,2,1,1
2020-07-30,0,0,14,16,6
2020-01-23,0,0,0,2,0
2020-02-21,0,0,0,1,0
2020-02-25,0,0,0,1,0
2020-02-26,0,0,0,1,0
2020-02-27,0,0,0,1,1
2020-02-29,0,0,0,1,3
2020-03-01,0,0,0,2,0
2020-03-03,0,0,0,1,0
2020-03-04,0,0,0,1,0
2020-03-06,0,0,0,1,1
2020-03-07,0,0,0,2,1
2020-03-10,0,0,0,4,1
