t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end,Region
150,156,0.8549465055351558,0.2703578235092845,0.4099800808441211,0.4638431641838727,0.6605219895764722,0.8266233772866538,1.0185701023578537,1.3427119898760957,1.4606593008545792,2020-08-13,2020-08-21,Halton
151,157,0.9823230330644354,0.29618153850896484,0.49037211881702814,0.5509052683195841,0.7697670555708827,0.9527213896411247,1.1626804455107154,1.514761695194386,1.6422973023936152,2020-08-15,2020-08-22,Halton
152,158,1.1804841723538217,0.32740740102272103,0.628558104416546,0.6982634973342906,0.9463592505664573,1.1503572227379777,1.3818277992672223,1.7655111818351177,1.9034476443708779,2020-08-16,2020-08-23,Halton
153,159,1.239405914119787,0.3312451638412579,0.6775947464791041,0.7493038729834999,1.0029075976904036,1.2100244335210768,1.4439297609943522,1.8297676249166357,1.9680345838707491,2020-08-17,2020-08-24,Halton
154,160,1.359454266069211,0.33986356651730276,0.7770455744648421,0.8527140121110064,1.1174759370205285,1.3312396037183698,1.5707211962943768,1.9624682241484632,2.102074755520464,2020-08-19,2020-08-25,Halton
155,161,1.5199952203422908,0.34871081895457295,0.9151364154831693,0.995353045424335,1.2725786114438382,1.4934134130950911,1.7384708120773025,2.135334910312154,2.275813665057151,2020-08-20,2020-08-26,Halton
156,162,1.5338470191455817,0.33471286046271465,0.9494754800386696,1.0278253911231514,1.2968278479236126,1.5095701435593774,1.7444314550766373,2.122699569940593,2.2560974462980803,2020-08-21,2020-08-27,Halton
157,163,1.3929173176439682,0.30395947832944437,0.8622377735955012,0.9333889031561486,1.1776754427452523,1.3708709988128052,1.5841532779277059,1.9276661585017052,2.0488074521222246,2020-08-22,2020-08-28,Halton
158,164,1.2379768572764072,0.27682004074416017,0.7561884261597025,0.8204475965007388,1.0417666530938323,1.2174061648272905,1.4117892295363947,1.7256926736047056,1.8365915028630002,2020-08-23,2020-08-29,Halton
159,165,1.3145611198414895,0.280265372443439,0.8238284550949792,0.8899422551970588,1.1162754366950847,1.2946980708367262,1.4912170838815682,1.8069504998791435,1.9181078428480591,2020-08-24,2020-08-30,Halton
160,166,1.2561611452632675,0.26781445602821263,0.7872295019476626,0.8504061664636109,1.0666843936151347,1.2371805212286446,1.4249690878965697,1.7266759035410348,1.8328950310815573,2020-08-25,2020-08-31,Halton
161,167,1.0410654523713296,0.238836794763057,0.6267894093455889,0.6817308729895319,0.8716064432771803,1.0228592101303695,1.190702364183779,1.462519996521968,1.558735811150798,2020-08-26,2020-09-01,Halton
162,168,0.9881885392443532,0.23291827239683693,0.5856631564737931,0.6387159099063504,0.8227503792272975,0.9699502251042,1.133771097207479,1.3998914959684703,1.4942863798454842,2020-08-27,2020-09-02,Halton
163,169,1.0079556139203356,0.23757741657937298,0.5973783776985218,0.6514923635753147,0.8392081375800863,0.9893524725197408,1.156450309780728,1.427894006258907,1.5241771034115519,2020-08-28,2020-09-03,Halton
164,170,0.9644910811442153,0.2339234472072808,0.5618515973752605,0.6145589860782654,0.798146997355241,0.9456468364578597,1.110321536291088,1.3787220543602914,1.474139379072889,2020-08-29,2020-09-04,Halton
165,171,1.213231906796954,0.2647489070682214,0.7510096722331178,0.812982353234479,1.0257560911127757,1.1940295484842387,1.3797985549420297,1.678998501578512,1.7845126486060379,2020-08-30,2020-09-05,Halton
166,172,1.2364077151914097,0.2636030105864121,0.7748501324886848,0.8370333290651137,1.0499105301204135,1.217725565943244,1.4025611131407316,1.6995235180003951,1.804072324725728,2020-08-31,2020-09-06,Halton
167,173,1.3988064803791616,0.2743285207382072,0.9137468341979038,0.9801623489416268,1.205327431047802,1.380914513628783,1.5727989105932974,1.8784938158126196,1.9854945237098387,2020-09-01,2020-09-07,Halton
168,174,1.6572765285685989,0.2884948133636178,1.1407929060885875,1.2129601372009726,1.4546618859669667,1.6405667559423838,1.8416885353789538,2.1586003542867296,2.268683609762742,2020-09-02,2020-09-08,Halton
169,175,1.516358674123356,0.2600533671807262,1.0501224625809984,1.115420802600221,1.3338113678279817,1.5015186022259943,1.6827397396926964,1.9679250340282526,2.0668980794768625,2020-09-03,2020-09-09,Halton
170,176,1.412204258012208,0.23870608744094907,0.9836520089711852,1.0438061252460424,1.2447234897963269,1.3987777035083615,1.56505832544332,1.8264083148885935,1.917030647479571,2020-09-04,2020-09-10,Halton
171,177,1.6134502621800444,0.2460488582852229,1.1676619549002645,1.2311615730990573,1.4413911572539806,1.60096027912464,1.771901220742524,2.0383485046908754,2.130197061013685,2020-09-05,2020-09-11,Halton
172,178,1.485591274243065,0.22396131129500985,1.0794328941075444,1.137376014544393,1.329033698939853,1.4743520784542048,1.6299033120899498,1.872148924140487,1.9556025676591091,2020-09-06,2020-09-12,Halton
173,179,1.262467172516959,0.1971642475928453,0.9059682396002977,0.9565850886875742,1.1244891282968037,1.2522181791320464,1.3892789874211493,1.6033138829641174,1.6771921639864737,2020-09-07,2020-09-13,Halton
174,180,1.23631097326044,0.19076692476898016,0.8910242051576496,0.9401300351532847,1.1028606782045796,1.2265129460746726,1.3590862161105215,1.5659179582186822,1.637262210172828,2020-09-08,2020-09-14,Halton
175,181,1.2236245064812408,0.18660098786232818,0.8855431225820581,0.9337005965380634,1.093136605933077,1.2141522285248827,1.3437921252279899,1.5458630746504063,1.6155200991251846,2020-09-09,2020-09-15,Halton
176,182,1.4289302975531994,0.1981569791112337,1.067193493060713,1.1193438479830435,1.290758467365145,1.4197809998921955,1.5571327819721612,1.7697289084659045,1.842649074020639,2020-09-10,2020-09-16,Halton
177,183,1.711663200662068,0.20911294215001983,1.3265154700577488,1.3828269430729476,1.5663657979722445,1.7031550363248869,1.8476889037368216,2.0695237928029893,2.145152953930114,2020-09-11,2020-09-17,Halton
178,184,1.9518058495979576,0.20925555169237023,1.5633164735090042,1.6208290591249088,1.8068880338420572,1.9443327813592728,2.0885792881655956,2.3082754452359797,2.382757859393001,2020-09-12,2020-09-18,Halton
179,185,1.8455359649091068,0.18642728510155537,1.4982953048956313,1.5499636965296868,1.7166074105172853,1.8392624416660064,1.9676272332027276,2.1625088991081824,2.2284239243241193,2020-09-13,2020-09-19,Halton
180,186,1.6517762251892654,0.16275434756546797,1.3482332909082404,1.3934912508367574,1.5392826220010254,1.646433757444356,1.758447197515471,1.9282857392126338,1.9856762238545058,2020-09-14,2020-09-20,Halton
181,187,1.604263066893757,0.15091637454040283,1.3221398265816462,1.3643569455739908,1.5000578284002577,1.599533217212677,1.7033132475322867,1.8603038572907182,1.9132626364397793,2020-09-15,2020-09-21,Halton
